,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CRÉDITO FISCAL ,SAN NICOLÁS,ALBERTI,SAN LUIS,Análisis de crédito fiscal corregido. Se puede ver en fila la fila 79 esta reducción para San Luis,,,,,,,,,,,,,,,,,
,Crédito fiscal  [USD] (3% × AF),-,-,82.772,Crédito fiscal 10 años. Se descuenta de los impuestos a pagar cada año.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,ACTIVO DE TRABAJO,SAN NICOLÁS,ALBERTI,SAN LUIS,Justificación de activo de trabajo añadida,,,,,,,,,,,,,,,,,
,Inversión activo de trabajo [USD],72.169,75.354,76.890,1 mes de costos operativos variables del Año 1 (producción + transporte MP + transporte PT). Criterio: período mínimo de capital inmovilizado antes del primer cobro.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VENTAS [unidades] - Equipo 523,SAN NICOLÁS,,,,,,,ALBERTI,,,,,,,SAN LUIS,,,,,,
,Cliente,,Año 1,Año 2,Año 3,Año 4,Año 5,TOTAL,,Año 1,Año 2,Año 3,Año 4,Año 5,TOTAL,,Año 1,Año 2,Año 3,Año 4,Año 5,TOTAL
,Metcon,0,1,3,3,3,3,13,0,1,3,3,3,3,13,0,1,3,3,3,3,13
,Zapla,0,0,3,3,0,6,12,0,0,3,3,0,6,12,0,0,3,3,0,6,12
,Acerbrag,0,0,0,0,2,1,3,0,0,0,0,2,1,3,0,0,0,0,2,1,3
,TOTAL,0,1,6,6,5,10,28,0,1,6,6,5,10,28,0,1,6,6,5,10,28
,,,,,,,,,,,,,,,,,,,,,,
,9. FLUJO DE FONDOS,SAN NICOLÁS,,,,,,,ALBERTI,,,,,,,SAN LUIS,,,,,,
,,Año 0,Año 1,Año 2,Año 3,Año 4,Año 5,TOTAL,Año 0,Año 1,Año 2,Año 3,Año 4,Año 5,TOTAL,Año 0,Año 1,Año 2,Año 3,Año 4,Año 5,TOTAL
,EGRESOS,,,,,,,,,,,,,,,,,,,,,
,Inversión Activo Fijo [USD],3.580.000,-,-,-,-,-,3.580.000,2.950.000,-,-,-,-,-,2.950.000,2.759.050,-,-,-,-,-,2.759.050
,Inversión Activo de Trabajo [USD],72.169,-,-,-,-,-,72.169,75.354,-,-,-,-,-,75.354,76.890,-,-,-,-,-,76.890
,(-) Crédito Fiscal [USD],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(82.772)
,TOTAL EGRESOS [USD],3.652.169,-,-,-,-,-,4.798.916,3.025.354,-,-,-,-,-,4.011.303,2.835.940,-,-,-,-,-,3.338.484
,INGRESOS,,,,,,,,,,,,,,,,,,,,,
,Ingresos Metcon [USD],-,1.109.949,3.329.846,3.329.846,3.329.846,3.329.846,14.429.331,-,1.109.949,3.329.846,3.329.846,3.329.846,3.329.846,14.429.331,-,1.109.949,3.329.846,3.329.846,3.329.846,3.329.846,14.429.331
,Ingresos Zapla [USD],-,-,3.329.846,3.329.846,-,6.659.691,13.319.382,-,-,3.329.846,3.329.846,-,6.659.691,13.319.382,-,-,3.329.846,3.329.846,-,6.659.691,13.319.382
,Ingresos Acerbrag [USD],-,-,-,-,2.219.897,1.109.949,3.329.846,-,-,-,-,2.219.897,1.109.949,3.329.846,-,-,-,-,2.219.897,1.109.949,3.329.846
,Valor residual activo fijo  [USD],-,-,-,-,-,1.446.250,1.446.250,-,-,-,-,-,1.131.250,1.131.250,-,-,-,-,-,1.035.775,1.035.775
,Recupero activo de trabajo [USD],-,-,-,-,-,72.169,72.169,-,-,-,-,-,75.354,75.354,-,-,-,-,-,76.890,76.890
,TOTAL INGRESOS [USD],-,1.109.949,6.659.691,6.659.691,5.549.743,12.617.904,32.596.977,-,1.109.949,6.659.691,6.659.691,5.549.743,12.306.089,32.285.162,-,1.109.949,6.659.691,6.659.691,5.549.743,12.212.150,32.191.223
,COSTOS OPERATIVOS,,,,,,,,,,,,,,,,,,,,,
,Costo de producción [USD],-,840.000,5.040.000,5.040.000,4.200.000,8.400.000,23.520.000,-,840.000,5.040.000,5.040.000,4.200.000,8.400.000,23.520.000,-,840.000,5.040.000,5.040.000,4.200.000,8.400.000,23.520.000
,Costo transporte materia prima [USD],-,25.812,154.872,154.872,129.060,258.120,722.736,-,56.280,337.680,337.680,281.400,562.800,1.575.840,-,65.088,390.528,390.528,325.440,650.880,1.822.464
,Costo transporte PT – Metcon [USD],-,220,660,660,660,660,2.860,-,7.964,23.892,23.892,23.892,23.892,103.532,-,17.592,52.776,52.776,52.776,52.776,228.696
,Costo transporte PT – Zapla [USD],-,-,10.668,10.668,-,21.336,42.672,-,-,18.288,18.288,-,36.576,73.152,-,-,52.344,52.344,-,104.688,209.376
,Costo transporte PT – Acerbrag [USD],-,-,-,-,46.368,23.184,69.552,-,-,-,-,28.992,14.496,43.488,-,-,-,-,44.352,22.176,66.528
,Total costo transporte PT [USD],-,220,11.328,11.328,47.028,45.180,115.084,-,7.964,42.180,42.180,52.884,74.964,220.172,-,17.592,105.120,105.120,97.128,179.640,504.600
,Amortizaciones [USD/año],-,426.750,426.750,426.750,426.750,426.750,2.133.750,-,363.750,363.750,363.750,363.750,363.750,1.818.750,-,344.655,344.655,344.655,344.655,344.655,1.723.275
,TOTAL COSTOS OPERATIVOS [USD],-,1.292.782,5.632.950,5.632.950,4.802.838,9.130.050,26.491.570,-,1.267.994,5.783.610,5.783.610,4.898.034,9.401.514,27.134.762,-,1.267.335,5.880.303,5.880.303,4.967.223,9.575.175,27.570.339
,RESULTADO ECONÓMICO,,,,,,,,,,,,,,,,,,,,,
,Utilidad antes de impuestos [USD],-,(182.833),1.026.741,1.026.741,746.905,1.969.435,4.586.988,-,(158.045),876.081,876.081,651.709,1.697.971,3.943.796,-,(157.386),779.388,779.388,582.520,1.524.310,3.508.219
,Impuestos [USD],-,-,256.685,256.685,186.726,492.359,1.146.747,-,-,219.020,219.020,162.927,424.493,985.949,-,-,112.076,112.076,62.858,298.306,585.315
,GANANCIA NETA [USD],-,(182.833),770.056,770.056,560.178,1.477.076,3.440.241,-,(158.045),657.061,657.061,488.781,1.273.478,2.957.847,-,(157.386),667.313,667.313,519.661,1.226.004,2.922.904
,,,,,,,,,,,,,,,,,,,,,,
,Formulación del proyecto - San Nicolás,,,,,,,,,,,,,,,,,,,,,
,Año,Activo Fijo,Activo de Trabajo,Impuestos,Total Egresos,Utilidad Antes de Impuestos,Amortizaciones,Total Ingresos,Saldo Anual,Saldo Acumulado,,,,,,,,,,,,
,Año 0,3.580.000,72.169,-,3.652.169,-,-,-,(3.652.169),(3.652.169),,,,,,,,,,,,
,Año 1,-,-,-,-,(182.833),426.750,243.917,243.917,(3.408.252),,,,,,,,,,,,
,Año 2,-,-,256.685,256.685,1.026.741,426.750,1.453.491,1.196.806,(2.211.447),,,,,,,,,,,,
,Año 3,-,-,256.685,256.685,1.026.741,426.750,1.453.491,1.196.806,(1.014.641),,,,,,,,,,,,
,Año 4,-,-,186.726,186.726,746.905,426.750,1.173.655,986.928,(27.713),,,,,,,,,,,,
,Año 5,(1.446.250),(72.169),492.359,(1.026.060),1.969.435,426.750,2.396.185,3.422.245,3.394.533,,,,,,,,,,,,
,TOTAL,2.133.750,-,1.192.455,3.326.205,4.586.988,2.133.750,6.720.738,3.394.533,3.394.533,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Formulación del proyecto - Alberti,,,,,,,,,,,,,,,,,,,,,
,Año,Activo Fijo,Activo de Trabajo,Impuestos,Total Egresos,Utilidad Antes de Impuestos,Amortizaciones,Total Ingresos,Saldo Anual,Saldo Acumulado,,,,,,,,,,,,
,Año 0,2.950.000,75.354,-,3.025.354,-,-,-,(3.025.354),(3.025.354),,,,,,,,,,,,
,Año 1,-,-,-,-,(158.045),363.750,205.705,205.705,(2.819.649),,,,,,,,,,,,
,Año 2,-,-,219.020,219.020,876.081,363.750,1.239.831,1.020.811,(1.798.839),,,,,,,,,,,,
,Año 3,-,-,219.020,219.020,876.081,363.750,1.239.831,1.020.811,(778.028),,,,,,,,,,,,
,Año 4,-,-,162.927,162.927,651.709,363.750,1.015.459,852.531,74.503,,,,,,,,,,,,
,Año 5,(1.131.250),(75.354),424.493,(782.111),1.697.971,363.750,2.061.721,2.843.832,2.918.336,,,,,,,,,,,,
,TOTAL,1.818.750,-,1.025.460,2.844.210,3.943.796,1.818.750,5.762.546,2.918.336,2.918.336,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Formulación del proyecto - San Luis,,,,,,,,,,,,,,,,,,,,,
,Año,Activo Fijo,Activo de Trabajo,Impuestos,Total Egresos,Utilidad Antes de Impuestos,Amortizaciones,Total Ingresos,Saldo Anual,Saldo Acumulado,,,,,,,,,,,,
,Año 0,2.759.050,76.890,-,2.835.940,-,-,-,(2.835.940),(2.835.940),,,,,,,,,,,,
,Año 1,-,-,-,-,(157.386),344.655,187.269,187.269,(2.648.671),,,,,,,,,,,,
,Año 2,-,-,112.076,112.076,779.388,344.655,1.124.043,1.011.968,(1.636.704),,,,,,,,,,,,
,Año 3,-,-,112.076,112.076,779.388,344.655,1.124.043,1.011.968,(624.736),,,,,,,,,,,,
,Año 4,-,-,62.858,62.858,582.520,344.655,927.175,864.316,239.580,,,,,,,,,,,,
,Año 5,(1.035.775),(76.890),298.306,(814.359),1.524.310,344.655,1.868.965,2.683.324,2.922.904,,,,,,,,,,,,
,TOTAL,1.723.275,-,585.315,2.308.590,3.508.219,1.723.275,5.231.494,2.922.904,2.922.904,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,RESUMEN DE INDICADORES,SAN NICOLÁS,ALBERTI,SAN LUIS,,,,,,,,,,,,,,,,,,
,VAN ( 9%) [USD],1.308.696,1.158.776,1.215.893,,,,,,,,,,,,,,,,,,
,TIR [%],"19,3%","20,0%","21,2%",,,,,,,,,,,,,,,,,,
,Beneficio neto [USD],3.394.533,2.918.336,2.922.904,,,,,,,,,,,,,,,,,,
